example_id                                  | status | run_time        |
./spec/unix/root_predicate_spec.rb[1:3]     | passed | 0.00002 seconds |
./spec/unix/root_predicate_spec.rb[1:4]     | passed | 0.00002 seconds |
./spec/unix/root_predicate_spec.rb[1:5]     | passed | 0.00004 seconds |
./spec/unix/root_spec.rb[1:1]               | passed | 0.00003 seconds |
./spec/unix/root_spec.rb[1:2]               | passed | 0.00002 seconds |
./spec/unix/root_spec.rb[1:3]               | passed | 0.00003 seconds |
./spec/unix/root_spec.rb[1:4]               | passed | 0.00003 seconds |
./spec/unix/spaceship_spec.rb[1:1]          | passed | 0.00003 seconds |
./spec/unix/spaceship_spec.rb[1:2]          | passed | 0.00004 seconds |
./spec/unix/spaceship_spec.rb[1:3]          | passed | 0.00003 seconds |
./spec/unix/spaceship_spec.rb[1:4]          | passed | 0.00003 seconds |
./spec/unix/subclass_spec.rb[1:1]           | passed | 0.00005 seconds |
./spec/unix/subclass_spec.rb[1:2]           | passed | 0.00004 seconds |
./spec/unix/subclass_spec.rb[1:3]           | passed | 0.00011 seconds |
./spec/unix/subclass_spec.rb[1:4]           | passed | 0.00205 seconds |
./spec/unix/to_a_spec.rb[1:1]               | passed | 0.00003 seconds |
./spec/unix/to_a_spec.rb[1:2]               | passed | 0.00004 seconds |
./spec/unix/to_a_spec.rb[1:3]               | passed | 0.00003 seconds |
./spec/unix/to_a_spec.rb[1:4]               | passed | 0.00005 seconds |
./spec/unix/unc_spec.rb[1:1]                | passed | 0.00005 seconds |
./spec/unix/url_path_spec.rb[1:1]           | passed | 0.02951 seconds |
./spec/version_spec.rb[1:1]                 | passed | 0.00003 seconds |
./spec/version_spec.rb[1:2]                 | passed | 0.00122 seconds |
